Date,S,I,R,D,beta,gamma,delta,C_e,D_e
1/22/2020,1400000000.0,501.0,30.0,17.0,0.3095417427518426,0.00010049902474982654,9.973778114232581e-05,548,17
1/23/2020,1399999818.3821054,682.498202826686,30.06011244554713,17.059579217381184,0.3091738300456417,0.00010404993112826934,0.0001030126519219542,643,18
1/24/2020,1399999571.362895,929.2483598730402,30.244815795216503,17.143929255042785,0.3087357024594645,0.00010886418004227389,0.00010744666302594797,920,26
1/25/2020,1399999235.7786567,1264.415937546548,30.540988776883925,17.264416826479724,0.3081970165753399,0.00011541896762674541,0.00011346635044770075,1406,42
1/26/2020,1399998780.0307004,1719.1317297353703,31.399234346013298,17.438335302963395,0.3075057852561811,0.000680150907208404,0.0001215639511985676,2075,56
1/27/2020,1399998162.9594457,2328.6148438816945,38.73150163432971,17.69420862266609,0.30655225204919695,0.005995250351864158,0.00013229241271001333,2877,82
1/28/2020,1399997334.3731408,3130.543480292884,64.61140765376302,18.471971029785635,0.30496973688182494,0.012561223095590641,0.00014573907698561665,5509,131
1/29/2020,1399996233.5019062,4168.587390881957,125.99179958951873,19.918903188610965,0.30250998440327515,0.020521335461072723,0.00016135514660848757,6087,133
1/30/2020,1399994784.8809047,5496.832765051628,247.31025473606132,18.976075472254788,0.299164357790354,0.02997880345601424,0.00017851292925669105,8141,171
1/31/2020,1399992915.817283,7140.71711802785,470.3471282438978,21.118470705622787,0.2945451440017686,0.04103514182982766,0.001155604373795004,9802,213
2/01/2020,1399990558.2771583,9093.372857645967,854.7558859258573,41.59409790109896,0.2883950396260574,0.053719436825590966,0.003974735025607993,11891,259
2/02/2020,1399987663.539106,11313.79453894748,1472.3256350460838,98.34071986329599,0.27926381045761345,0.0677369578146873,0.007430621270041119,16630,361
2/03/2020,1399984266.9927244,13657.144571529316,2412.955960562841,210.90674323697212,0.26626345606290514,0.08229242138564224,0.010520291137747433,19716,425
2/04/2020,1399980453.334011,15968.108242984203,3744.948259867101,381.609485851204,0.250281456323531,0.09644444672078158,0.012245720899040934,23707,491
2/05/2020,1399976344.107164,18109.504138037766,5504.471231685429,589.9174661654582,0.2318927521717733,0.10930708810965419,0.011882174821000416,27440,563
2/06/2020,1399972097.1291711,19963.271037167106,7695.86832032367,791.7314712713996,0.21331287289002684,0.12032676226291208,0.009182497426281766,30587,633
2/07/2020,1399967843.1895719,21497.787917537164,10300.232804649138,906.7897058281945,0.19643649775320418,0.1294786168259887,0.00437151541213892,34110,718
2/08/2020,1399963640.149338,22708.43899524129,13253.04060373564,946.3710627716758,0.18308958643062673,0.13715968708534643,4.8743329743355156e-05,36814,805
2/09/2020,1399959497.0185342,23599.60633146568,16500.38185131835,950.9932828901985,0.17485611308956345,0.14413055948413778,3.418797524969517e-05,39829,905
